UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
999999996239,GREAT VALUE,WHOLE NATURAL ALMONDS ,,1 COUNT,1 PACK,POUCH,25 oz,9.98,,
999999996238,GREAT VALUE,SWEETENED DRIED CRANBERRIES,VALUE SIZE,1 COUNT,1 PACK,POUCH,24 OZ,,,
999999996236,SUNSHINE COUNTRY,ROASTED AND SALTED WHOLE CASHEWS,,1 COUNT,1 PACK,POUCH,8 OZ,,,
999999996235,SUN MAID,DARK CHOCOLATE YOGURT RAISINS,,6 COUNT,6 PACK,BOX,,3.12,,
999999996233,BLUE DIAMOND,ALMONDS OVEN ROASTED SEA SALT ,,1 COUNT,1 PACK,POUCH,,11.68,,
999999996232,BLUE DIAMOND,ALMONDS LIGHTLY SALTED SEA SALT ,LOW SODIUM,1 COUNT,1 PACK,POUCH,,11.66,,
999999996231,BLUE DIAMOND,OVEN ROASTED ALMONDS DARK CHOCOLATE,,1 COUNT,1 PACK,POUCH,,11.66,,
999999996230,BLUE DIAMOND,OVEN ROASTED ALMONDS DARK CHOCOLATE,,1 COUNT,1 PACK,POUCH,14 OZ,6.98,,
999999996229,GREAT VALUE,CHOPPED DATES,,1 COUNT,1 PACK,POUCH,,,,
999999996228,SUNSWEET,DEGLET NOOR DATES PITTED,,1 COUNT,1 PACK,POUCH,8 OZ,3.42,,
999999996227,GREAT VALUE,FREEZE DRIED FUJI APPLE FRUIT CRISPS,,1 COUNT,1 PACK,POUCH,1 OZ,2.28,,
999999996226,GREAT VALUE,SUN RIPENED DRIED PINEAPPLE,,1 COUNT,1 PACK,POUCH,6 OZ,3.58,,
999999996225,MARIANI,ULTIMATE APRICOTS,,1 COUNT,1 PACK,POUCH,6 OZ,,,
999999996224,GREAT VALUE,SWEETENED DRIED PINEAPPLE,,1 COUNT,1 PACK,POUCH,6 OZ,,,
999999996223,GREAT VALUE,FREEZE DRIES BANANA AND STRAWBERRY CRISPS,,1 COUNT,1 PACK,POUCH,1.2 OZ,2.88,,
999999996222,SUNSWEET,PACIFIC TROPICALS PREMIUM MANGO,VALUE PACK,1 COUNT,1 PACK,POUCH,9 0Z,5.28,,
999999996221,MARIANI,PITTED DRIED PLUMS PITTED PRUNES,HOT VALUE,1 COUNT,1 PACK,POUCH,18 OZ,,,
999999996220,GREAT VALUE,DRIED APRICOT,,1 COUNT,1 PACK,POUCH,,,,
999999996218,PREMIUM,ROASTED AND SALTED CASHEWS,,1 COUNT,1 PACK,POUCH,,,,
999999996216,GREAT VALUE,MEDJOOL DATES,,1 COUNT,1 PACK,POUCH,,,,
999999996215,GREAT VALUE,HALVES PECANS,,1 COUNT,1 PACK,POUCH,16 OZ,,,
999999996214,SUN MAID,SOUR RAISIN SNACKS,,7 COUNT,1 PACK,BOX,,3.38,,
999999996213,GREAT VALUE,SWEETENED DRIED BLUEBERRIES,,1 COUNT,1 PACK,POUCH,3.5 OZ,,,
999999996212,GREAT VALUE,GREEK STYLE YOGURT CRANBERRIES PACK OF 6,,6 COUNT,6 PACK,BOX,1.5 OZ EACH,,,
999999996211,GIANTS,ORIGINAL ROASTED AND SALTED SUNFLOWER SEEDS,,1 COUNT,1 PACK,POUCH,12 OZ,,,
999999996210,SUNSWEET,ONES,VALUE PACK,1 COUNT,1 PACK,POUCH,12 OZ,,,
999999996209,OCEAN SPRAY,CRASINS DRIED CRANBERRIES MILK CHOCOLATE,,1 COUNT,1 PACK,POUCH,24 OZ,,,
999999996207,BIENA,CHICKPEA SNACKS SEA SALT,,1 COUNT,1 PACK,POUCH,5 OZ,,,
